catégorie,expression,type,fréquence
Carte CPS,nouvelle carte cps,trigramme,10
Carte CPS,lecture carte cps,trigramme,4
Carte CPS,changement carte cps,trigramme,4
Carte CPS,cps non valide,trigramme,3
Carte CPS,facturation ps correspond,trigramme,3
Carte CPS,reçu nouvelle carte,trigramme,3
Carte CPS,problème lecture carte,trigramme,2
Carte CPS,certificat cps révoqué,trigramme,2
Carte CPS,certificat cps non,trigramme,2
Carte CPS,carte cps non,trigramme,2
Carte CPS,suite réception nouvelle,trigramme,2
Carte CPS,réception nouvelle carte,trigramme,2
Carte CPS,carte cps changement,trigramme,2
Carte CPS,cps changement numéro,trigramme,2
Carte CPS,changement numéro adeli,trigramme,2
Carte CPS,numéro adeli retrouve,trigramme,2
Carte CPS,adeli retrouve plus,trigramme,2
Carte CPS,retrouve plus anciennes,trigramme,2
Carte CPS,plus anciennes feuilles,trigramme,2
Carte CPS,anciennes feuilles soins,trigramme,2
Teleservices,travail,unigramme,14
Teleservices,arrêt,unigramme,8
Teleservices,arrêts,unigramme,7
Teleservices,droits,unigramme,6
Teleservices,faire,unigramme,6
Teleservices,bonjour,unigramme,5
Teleservices,problème,unigramme,5
Teleservices,accès,unigramme,4
Teleservices,employeur,unigramme,4
Teleservices,ligne,unigramme,4
Teleservices,stellair,unigramme,4
Teleservices,dr,unigramme,4
Teleservices,patients,unigramme,3
Teleservices,numéro,unigramme,3
Teleservices,message,unigramme,3
Teleservices,erreur,unigramme,3
Teleservices,alors,unigramme,3
Teleservices,noté,unigramme,3
Teleservices,sociale,unigramme,3
Teleservices,plusieurs,unigramme,3
Teleservices,arrêt travail,bigramme,8
Teleservices,message erreur,bigramme,3
Teleservices,droits ligne,bigramme,3
Teleservices,certains patients,bigramme,2
Teleservices,peux faire,bigramme,2
Teleservices,plus accès,bigramme,2
Teleservices,finess noté,bigramme,2
Teleservices,arrêts travail,bigramme,2
Teleservices,sécurité sociale,bigramme,2
Teleservices,arrets travail,bigramme,2
Teleservices,acquisition droits,bigramme,2
Teleservices,problème lors,bigramme,2
Teleservices,imprimer volet,bigramme,2
Teleservices,volet employeur,bigramme,2
Teleservices,si plusieurs,bigramme,2
Teleservices,plusieurs prolongations,bigramme,2
Teleservices,prolongations arrêt,bigramme,2
Teleservices,travail comment,bigramme,2
Teleservices,comment récupérer,bigramme,2
Teleservices,récupérer duplicatas,bigramme,2
Teleservices,acquisition droits ligne,trigramme,2
Teleservices,imprimer volet employeur,trigramme,2
Teleservices,si plusieurs prolongations,trigramme,2
Teleservices,plusieurs prolongations arrêt,trigramme,2
Teleservices,prolongations arrêt travail,trigramme,2
Teleservices,arrêt travail comment,trigramme,2
Teleservices,travail comment récupérer,trigramme,2
Teleservices,comment récupérer duplicatas,trigramme,2
Teleservices,récupérer duplicatas ensemble,trigramme,2
Teleservices,duplicatas ensemble arrêts,trigramme,2
Teleservices,remplaçant dr geerts,trigramme,2
Teleservices,logiciel trouve droits,trigramme,1
Teleservices,trouve droits certains,trigramme,1
Teleservices,droits certains patients,trigramme,1
Teleservices,certains patients ame,trigramme,1
Teleservices,patients ame coup,trigramme,1
Teleservices,ame coup peux,trigramme,1
Teleservices,coup peux faire,trigramme,1
Teleservices,peux faire tiers,trigramme,1
Teleservices,faire tiers payant,trigramme,1
Recettes,recettes,unigramme,34
Recettes,montant,unigramme,14
Recettes,factures,unigramme,14
Recettes,paiement,unigramme,13
Recettes,recette,unigramme,11
Recettes,comment,unigramme,11
Recettes,comptabilité,unigramme,11
Recettes,stellair,unigramme,11
Recettes,jour,unigramme,10
Recettes,amo,unigramme,9
Recettes,facture,unigramme,9
Recettes,arrive,unigramme,9
Recettes,fse,unigramme,9
Recettes,affid,unigramme,9
Recettes,faire,unigramme,9
Recettes,depuis,unigramme,7
Recettes,comme,unigramme,7
Recettes,deux,unigramme,7
Recettes,2024,unigramme,6
Recettes,amc,unigramme,6
Recettes,montant paiement,bigramme,4
Recettes,recettes depuis,bigramme,3
Recettes,onglet recette,bigramme,3
Recettes,deux factures,bigramme,3
Recettes,probleme lors,bigramme,3
Recettes,lors réglement,bigramme,3
Recettes,affid recette,bigramme,3
Recettes,faire comptabilité,bigramme,3
Recettes,depuis 11,bigramme,2
Recettes,11 12,bigramme,2
Recettes,12 2024,bigramme,2
Recettes,2024 recettes,bigramme,2
Recettes,recettes colonnes,bigramme,2
Recettes,colonnes apparaissent,bigramme,2
Recettes,apparaissent normalement,bigramme,2
Recettes,normalement particulier,bigramme,2
Recettes,particulier montant,bigramme,2
Recettes,paiement correctement,bigramme,2
Recettes,correctement renseigné,bigramme,2
Recettes,renseigné si,bigramme,2
Recettes,recettes depuis 11,trigramme,2
Recettes,depuis 11 12,trigramme,2
Recettes,11 12 2024,trigramme,2
Recettes,12 2024 recettes,trigramme,2
Recettes,2024 recettes colonnes,trigramme,2
Recettes,recettes colonnes apparaissent,trigramme,2
Recettes,colonnes apparaissent normalement,trigramme,2
Recettes,apparaissent normalement particulier,trigramme,2
Recettes,normalement particulier montant,trigramme,2
Recettes,particulier montant paiement,trigramme,2
Recettes,montant paiement correctement,trigramme,2
Recettes,paiement correctement renseigné,trigramme,2
Recettes,correctement renseigné si,trigramme,2
Recettes,renseigné si fait,trigramme,2
Recettes,si fait exporter,trigramme,2
Recettes,fait exporter fichier,trigramme,2
Recettes,exporter fichier exporté,trigramme,2
Recettes,fichier exporté colonne,trigramme,2
Recettes,exporté colonne montant,trigramme,2
Recettes,colonne montant paiement,trigramme,2
MAN,jour,unigramme,8
MAN,lecteur,unigramme,7
MAN,stellair,unigramme,4
MAN,fois,unigramme,4
MAN,mise,unigramme,4
MAN,plusieurs,unigramme,3
MAN,prium,unigramme,3
MAN,mettre,unigramme,3
MAN,tous,unigramme,3
MAN,faire,unigramme,3
MAN,bonjour,unigramme,3
MAN,jours,unigramme,2
MAN,demande,unigramme,2
MAN,si,unigramme,2
MAN,15j,unigramme,2
MAN,absence,unigramme,1
MAN,mention,unigramme,1
MAN,apres,unigramme,1
MAN,appels,unigramme,1
MAN,serveur,unigramme,1
MAN,mise jour,bigramme,4
MAN,lecteur prium,bigramme,2
MAN,mettre jour,bigramme,2
MAN,tous jours,bigramme,2
MAN,plusieurs fois,bigramme,2
MAN,absence mention,bigramme,1
MAN,mention stellair,bigramme,1
MAN,stellair apres,bigramme,1
MAN,apres plusieurs,bigramme,1
MAN,plusieurs appels,bigramme,1
MAN,appels serveur,bigramme,1
MAN,prium mettre,bigramme,1
MAN,mettre niveau,bigramme,1
MAN,niveau activation,bigramme,1
MAN,activation passerelle,bigramme,1
MAN,passerelle echo,bigramme,1
MAN,lecteur semble,bigramme,1
MAN,semble vouloir,bigramme,1
MAN,vouloir mettre,bigramme,1
MAN,jours demandé,bigramme,1
MAN,absence mention stellair,trigramme,1
MAN,mention stellair apres,trigramme,1
MAN,stellair apres plusieurs,trigramme,1
MAN,apres plusieurs appels,trigramme,1
MAN,plusieurs appels serveur,trigramme,1
MAN,lecteur prium mettre,trigramme,1
MAN,prium mettre niveau,trigramme,1
MAN,mettre niveau activation,trigramme,1
MAN,niveau activation passerelle,trigramme,1
MAN,activation passerelle echo,trigramme,1
MAN,lecteur semble vouloir,trigramme,1
MAN,semble vouloir mettre,trigramme,1
MAN,vouloir mettre jour,trigramme,1
MAN,tous jours demandé,trigramme,1
MAN,jours demandé faire,trigramme,1
MAN,demandé faire maj,trigramme,1
MAN,faire maj lecteur,trigramme,1
MAN,maj lecteur chaque,trigramme,1
MAN,lecteur chaque fois,trigramme,1
MAN,chaque fois message,trigramme,1
Appairage,lecteur,unigramme,21
Appairage,compte,unigramme,14
Appairage,lecteurs,unigramme,13
Appairage,dr,unigramme,8
Appairage,appairer,unigramme,7
Appairage,bonjour,unigramme,7
Appairage,souhaite,unigramme,6
Appairage,ajouter,unigramme,5
Appairage,stellair,unigramme,5
Appairage,com,unigramme,5
Appairage,merci,unigramme,5
Appairage,rousseau,unigramme,5
Appairage,avouac,unigramme,5
Appairage,prium,unigramme,4
Appairage,faire,unigramme,4
Appairage,pouvez,unigramme,4
Appairage,accès,unigramme,4
Appairage,foret,unigramme,4
Appairage,marie,unigramme,4
Appairage,drs,unigramme,4
Appairage,appairer lecteur,bigramme,3
Appairage,lecteur prium,bigramme,3
Appairage,accès lecteurs,bigramme,3
Appairage,marie lou,bigramme,3
Appairage,souhaite appairer,bigramme,2
Appairage,ajouter lecteur,bigramme,2
Appairage,nouveaux collaborateurs,bigramme,2
Appairage,appairer lecteurs,bigramme,2
Appairage,samy nabih,bigramme,2
Appairage,gmail com,bigramme,2
Appairage,bonjour pouvez,bigramme,2
Appairage,souhaite faire,bigramme,2
Appairage,faire demande,bigramme,2
Appairage,demande rattachement,bigramme,2
Appairage,dr julien,bigramme,2
Appairage,bonjour souhaite,bigramme,2
Appairage,souhaite ajouter,bigramme,2
Appairage,ajouter lecteurs,bigramme,2
Appairage,rosalie rousseau,bigramme,2
Appairage,lou avouac,bigramme,2
Appairage,souhaite appairer lecteur,trigramme,2
Appairage,ajouter lecteur prium,trigramme,2
Appairage,souhaite faire demande,trigramme,2
Appairage,faire demande rattachement,trigramme,2
Appairage,bonjour souhaite ajouter,trigramme,2
Appairage,marie lou avouac,trigramme,2
Appairage,appairer lecteur neo,trigramme,1
Appairage,lecteur neo carte,trigramme,1
Appairage,neo carte cps,trigramme,1
Appairage,voudrais ajouter lecteur,trigramme,1
Appairage,lecteur prium compte,trigramme,1
Appairage,prium compte stellair,trigramme,1
Appairage,compte stellair dispose,trigramme,1
Appairage,stellair dispose onglet,trigramme,1
Appairage,dispose onglet stellair,trigramme,1
Appairage,onglet stellair dit,trigramme,1
Appairage,stellair dit lecteur,trigramme,1
Appairage,installation option appairage,trigramme,1
Appairage,option appairage apparait,trigramme,1
Appairage,appairage apparait lecteur,trigramme,1
ApCv,lecteur,unigramme,3
ApCv,appli,unigramme,2
ApCv,carte,unigramme,2
ApCv,vitale,unigramme,2
ApCv,cv,unigramme,2
ApCv,qr,unigramme,2
ApCv,code,unigramme,2
ApCv,utiliser,unigramme,1
ApCv,stellair,unigramme,1
ApCv,compatible,unigramme,1
ApCv,application,unigramme,1
ApCv,quand,unigramme,1
ApCv,essaie,unigramme,1
ApCv,faire,unigramme,1
ApCv,lecture,unigramme,1
ApCv,plante,unigramme,1
ApCv,redémarre,unigramme,1
ApCv,probleme,unigramme,1
ApCv,installation,unigramme,1
ApCv,liteo2d,unigramme,1
ApCv,carte vitale,bigramme,2
ApCv,qr code,bigramme,2
ApCv,utiliser stellair,bigramme,1
ApCv,stellair appli,bigramme,1
ApCv,appli carte,bigramme,1
ApCv,lecteur compatible,bigramme,1
ApCv,compatible application,bigramme,1
ApCv,application carte,bigramme,1
ApCv,quand essaie,bigramme,1
ApCv,essaie faire,bigramme,1
ApCv,faire lecture,bigramme,1
ApCv,lecture cv,bigramme,1
ApCv,cv appli,bigramme,1
ApCv,appli cv,bigramme,1
ApCv,cv lecteur,bigramme,1
ApCv,lecteur plante,bigramme,1
ApCv,plante redémarre,bigramme,1
ApCv,probleme installation,bigramme,1
ApCv,installation liteo2d,bigramme,1
ApCv,problème lecteur,bigramme,1
ApCv,utiliser stellair appli,trigramme,1
ApCv,stellair appli carte,trigramme,1
ApCv,appli carte vitale,trigramme,1
ApCv,lecteur compatible application,trigramme,1
ApCv,compatible application carte,trigramme,1
ApCv,application carte vitale,trigramme,1
ApCv,quand essaie faire,trigramme,1
ApCv,essaie faire lecture,trigramme,1
ApCv,faire lecture cv,trigramme,1
ApCv,lecture cv appli,trigramme,1
ApCv,cv appli cv,trigramme,1
ApCv,appli cv lecteur,trigramme,1
ApCv,cv lecteur plante,trigramme,1
ApCv,lecteur plante redémarre,trigramme,1
ApCv,probleme installation liteo2d,trigramme,1
ApCv,problème lecteur qr,trigramme,1
ApCv,lecteur qr code,trigramme,1
ApCv,qr code litéo,trigramme,1
ApCv,code litéo 2d,trigramme,1
ApCv,litéo 2d lit,trigramme,1
fonctionnalités,possible,unigramme,1
fonctionnalités,remettre,unigramme,1
fonctionnalités,possibilte,unigramme,1
fonctionnalités,imprimer,unigramme,1
fonctionnalités,transmettre,unigramme,1
fonctionnalités,arrets,unigramme,1
fonctionnalités,travail,unigramme,1
fonctionnalités,svp,unigramme,1
fonctionnalités,possible remettre,bigramme,1
fonctionnalités,remettre possibilte,bigramme,1
fonctionnalités,possibilte imprimer,bigramme,1
fonctionnalités,imprimer transmettre,bigramme,1
fonctionnalités,transmettre arrets,bigramme,1
fonctionnalités,arrets travail,bigramme,1
fonctionnalités,travail svp,bigramme,1
fonctionnalités,possible remettre possibilte,trigramme,1
fonctionnalités,remettre possibilte imprimer,trigramme,1
fonctionnalités,possibilte imprimer transmettre,trigramme,1
fonctionnalités,imprimer transmettre arrets,trigramme,1
fonctionnalités,transmettre arrets travail,trigramme,1
fonctionnalités,arrets travail svp,trigramme,1
Ordoclic,tarif,unigramme,1
Ordoclic,option,unigramme,1
Ordoclic,ordonnance,unigramme,1
Ordoclic,numérique,unigramme,1
Ordoclic,problème,unigramme,1
Ordoclic,création,unigramme,1
Ordoclic,ordonnances,unigramme,1
Ordoclic,médicale,unigramme,1
Ordoclic,tarif option,bigramme,1
Ordoclic,option ordonnance,bigramme,1
Ordoclic,ordonnance numérique,bigramme,1
Ordoclic,problème création,bigramme,1
Ordoclic,création ordonnances,bigramme,1
Ordoclic,ordonnances médicale,bigramme,1
Ordoclic,tarif option ordonnance,trigramme,1
Ordoclic,option ordonnance numérique,trigramme,1
Ordoclic,problème création ordonnances,trigramme,1
Ordoclic,création ordonnances médicale,trigramme,1
