mois_depuis_souscription,mois_utilisation,nb_contacts_eligibles,nb_tickets,moyenne_tickets_par_contact
0,1,152,56,0.3684
1,2,149,54,0.3624
2,3,140,12,0.0857
3,4,135,12,0.0889
4,5,119,8,0.0672
5,6,96,6,0.0625
