mois_depuis_souscription,mois_utilisation,nb_contacts_eligibles,nb_tickets,moyenne_tickets_par_contact
0,1,23,6,0.2609
1,2,23,5,0.2174
2,3,23,5,0.2174
3,4,23,3,0.1304
4,5,23,2,0.087
5,6,23,3,0.1304
6,7,23,2,0.087
7,8,23,5,0.2174
8,9,23,2,0.087
9,10,23,3,0.1304
10,11,23,7,0.3043
11,12,23,2,0.087
12,13,23,0,0.0
13,14,22,0,0.0
14,15,16,1,0.0625
15,16,8,1,0.125
16,17,3,0,0.0
17,18,3,0,0.0
18,19,1,0,0.0
19,20,1,0,0.0
20,21,1,0,0.0
21,22,1,0,0.0
22,23,0,0,0.0
23,24,0,0,0.0
24,25,0,0,0.0
