contact_id,date_formation,nb_tickets_support_apres_formation,nb_mois_observation,tickets_support_par_mois_calendaire
304085804275,2025-05-21 18:31:00,2,11,0.1818
304144947425,2025-05-21 18:31:00,3,11,0.2727
304205563125,2025-05-21 18:31:00,2,11,0.1818
305008754890,2025-05-23 16:01:00,0,11,0.0
305340097730,2025-06-04 14:50:00,0,10,0.0
309359925475,2025-05-26 20:03:00,1,11,0.0909
309454262501,2025-05-26 20:03:00,1,11,0.0909
309459081402,2025-05-26 20:03:00,0,11,0.0
309492248780,2025-05-26 20:03:00,1,11,0.0909
309495291084,2025-05-26 20:03:00,1,11,0.0909
310149746931,2025-05-27 15:32:00,1,11,0.0909
311394586862,2025-06-25 16:58:00,3,10,0.3
319523598522,2025-06-04 14:50:00,1,10,0.1
319530539198,2025-06-04 14:50:00,2,10,0.2
320027446465,2025-06-12 08:29:00,3,10,0.3
320919992546,2025-09-17 14:12:00,1,7,0.1429
321771597015,2025-06-16 17:16:00,4,10,0.4
322070370508,2025-06-06 16:38:00,3,10,0.3
322102326466,2025-06-06 16:38:00,1,10,0.1
322129729731,2025-06-24 16:48:00,0,10,0.0
326543683786,2025-06-10 12:00:00,0,10,0.0
326961534180,2025-06-16 17:24:00,0,10,0.0
328380309745,2025-07-08 15:26:00,1,9,0.1111
331119561959,2025-08-20 16:30:00,5,8,0.625
332601220300,2025-07-02 18:30:00,2,9,0.2222
332773720270,2025-06-16 17:16:00,0,10,0.0
332773720275,2025-06-16 17:16:00,0,10,0.0
332792411337,2025-08-27 11:30:00,0,8,0.0
332818942194,2025-06-16 17:16:00,1,10,0.1
333839439048,2025-06-29 22:22:00,2,10,0.2
334613251290,2025-06-19 19:06:00,0,10,0.0
335859400944,2025-06-19 19:06:00,0,10,0.0
335881683131,2025-06-19 19:06:00,1,10,0.1
335881683139,2025-06-19 19:06:00,0,10,0.0
335902325952,2025-06-19 19:06:00,0,10,0.0
335921809609,2025-06-19 19:06:00,0,10,0.0
335922719949,2025-06-19 19:06:00,0,10,0.0
335923582167,2025-06-19 19:06:00,0,10,0.0
335951211745,2025-06-19 19:06:00,0,10,0.0
335966244081,2025-06-19 19:06:00,0,10,0.0
3411,2025-07-16 19:10:00,1,9,0.1111
341528196286,2025-06-25 11:02:00,0,10,0.0
341542084818,2025-06-25 11:02:00,0,10,0.0
341542086863,2025-06-25 11:02:00,0,10,0.0
341548982470,2025-06-25 11:02:00,0,10,0.0
341550786794,2025-06-25 11:02:00,1,10,0.1
341550789832,2025-06-25 11:02:00,0,10,0.0
341550790889,2025-06-25 11:02:00,0,10,0.0
341554730209,2025-06-25 11:02:00,0,10,0.0
341556623578,2025-06-25 11:02:00,0,10,0.0
341607967955,2025-06-25 11:02:00,0,10,0.0
3420,2025-06-10 11:47:00,3,10,0.3
358789800136,2025-07-23 11:35:00,1,9,0.1111
359311825133,2025-07-10 14:44:00,0,9,0.0
359317526738,2025-07-10 14:44:00,0,9,0.0
359568905437,2025-09-29 09:19:00,0,7,0.0
364493852918,2025-07-29 10:44:00,2,9,0.2222
365243819201,2025-07-21 10:42:00,3,9,0.3333
366665048309,2025-09-10 17:15:00,1,7,0.1429
373650104533,2025-07-22 09:40:00,2,9,0.2222
376099163361,2025-07-23 20:13:00,4,9,0.4444
379602414815,2025-08-01 11:18:00,3,8,0.375
383032142022,2025-08-01 15:34:00,4,8,0.5
391284198638,2025-09-04 14:04:00,5,7,0.7143
391290674425,2025-08-19 15:26:00,1,8,0.125
397340201153,2025-08-11 15:08:00,0,8,0.0
413325718734,2025-08-21 16:19:00,2,8,0.25
413455422708,2025-08-21 16:19:00,0,8,0.0
413680557305,2025-08-21 16:19:00,0,8,0.0
414742770934,2025-09-02 13:46:00,2,7,0.2857
417249730796,2025-09-04 12:09:00,5,7,0.7143
417249797366,2025-08-28 13:44:00,6,8,0.75
417607567606,2025-09-18 17:42:00,1,7,0.1429
426402319590,2025-09-16 11:29:00,1,7,0.1429
429310413046,2025-09-04 10:14:00,0,7,0.0
429659773115,2025-09-17 11:59:00,9,7,1.2857
434131699908,2025-09-09 13:36:00,1,7,0.1429
438005687535,2025-09-29 09:19:00,0,7,0.0
438006212826,2025-09-18 19:21:00,0,7,0.0
438007548122,2025-09-12 19:37:00,2,7,0.2857
438695342321,2025-09-29 09:19:00,4,7,0.5714
442464088273,2025-09-18 17:42:00,0,7,0.0
442483594485,2025-09-18 17:42:00,0,7,0.0
442613627106,2025-09-18 17:42:00,0,7,0.0
442626403567,2025-09-18 17:42:00,0,7,0.0
442637145295,2025-09-18 17:42:00,0,7,0.0
442640751860,2025-09-18 17:42:00,0,7,0.0
442646261992,2025-09-18 17:42:00,0,7,0.0
442650264772,2025-09-18 17:42:00,0,7,0.0
442656915643,2025-09-18 17:42:00,0,7,0.0
442754157761,2025-09-18 17:42:00,0,7,0.0
442762490100,2025-09-18 17:42:00,0,7,0.0
442762894546,2025-09-18 17:42:00,0,7,0.0
442762894580,2025-09-18 17:42:00,1,7,0.1429
446598478047,2025-09-18 19:21:00,0,7,0.0
453768645820,2025-09-30 10:45:00,0,7,0.0
4578558,2025-04-28 11:34:00,3,12,0.25
4581651,2025-06-23 13:52:00,2,10,0.2
4731,2025-07-11 16:32:00,0,9,0.0
5447,2025-03-10 10:08:00,0,13,0.0
7106,2025-09-23 16:07:00,0,7,0.0
726284,2025-01-13 13:00:00,4,15,0.2667
726319,2025-02-12 10:32:00,2,14,0.1429
729691,2025-04-18 16:29:00,2,12,0.1667
7632,2025-04-22 09:10:00,4,12,0.3333
80584391904,2025-02-17 17:05:00,2,14,0.1429
8101072102,2025-02-11 10:29:00,2,14,0.1429
83201,2025-09-19 17:06:00,0,7,0.0
88896913621,2025-07-22 09:40:00,1,9,0.1111
911779,2025-09-01 14:29:00,1,7,0.1429
917160,2025-03-21 14:44:00,2,13,0.1538
98478558423,2025-02-28 10:55:00,0,14,0.0
