mois_depuis_souscription,mois_utilisation,nb_contacts_eligibles,nb_tickets,moyenne_tickets_par_contact
0,1,22,6,0.2727
1,2,22,5,0.2273
2,3,22,4,0.1818
3,4,22,3,0.1364
4,5,22,1,0.0455
5,6,22,3,0.1364
6,7,22,2,0.0909
7,8,22,5,0.2273
8,9,22,2,0.0909
9,10,22,3,0.1364
10,11,22,6,0.2727
11,12,22,2,0.0909
12,13,22,0,0.0
